B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean
2581.833,2286.000,5409.333,5276.000,5162.000,5772.000,46.400,N/A,4438.000,0.019484297302146597
1953.500,1853.667,3587.000,3340.000,3355.000,3323.000,34.400,N/A,4439.000,0.008972150662845886
3128.500,2858.333,3716.000,3481.333,3360.000,3676.000,54.000,N/A,4440.000,0.01985065243343018
2948.700,2470.000,8103.909,7776.000,7710.400,7582.000,67.000,N/A,4441.000,0.05982998896769044
2445.000,2282.167,7766.000,7330.000,7079.500,6511.500,36.000,N/A,4442.000,0.07659380507875199
2420.600,2214.333,7696.000,7394.667,7122.667,6609.333,22.200,N/A,4443.000,0.07948175913406216
2448.000,2192.000,6622.000,6368.000,6273.048,6237.333,36.000,N/A,4444.000,0.05230646007649849
2780.500,2332.300,5314.000,4964.000,4879.429,5460.800,19.000,N/A,4445.000,0.011082504290430124
2511.286,2026.500,4442.000,4316.000,4288.000,4697.500,64.000,N/A,4446.000,0.008405688335444358
2357.000,1897.400,3470.667,3368.000,3427.600,3738.400,24.100,N/A,4447.000,0.001018962614568737
2584.250,2194.500,3799.000,3676.000,3694.000,4121.250,57.300,N/A,4448.000,0.0005371476703404551
2080.250,1957.000,6691.000,6482.400,6354.667,5930.000,14.000,N/A,4449.000,0.08040416661843788
2089.364,2034.667,8152.000,7899.333,7960.000,7446.400,16.600,N/A,4450.000,0.11695319098640788
3423.000,2634.250,1236.667,1584.000,2073.000,3118.400,98.500,N/A,4457.000,0.22448682287338706
2349.111,1453.500,496.000,866.417,796.500,3682.250,25.000,N/A,4462.000,0.49443767043273423
2475.000,2319.000,1802.000,2010.000,2202.000,4376.000,52.000,N/A,4463.000,0.09700076539931118
2707.000,2060.750,560.143,798.875,848.000,3117.500,14.100,N/A,4465.000,0.5094474249493908
2597.000,2382.000,4446.000,4312.000,4210.000,5036.000,24.600,N/A,4468.000,0.00356731456658006
2717.500,2213.500,4176.000,4052.000,4060.000,4778.250,16.000,N/A,4478.000,0.0013092019495722857
2765.500,1943.500,3028.000,2702.000,2610.000,4773.600,13.300,N/A,4479.000,0.03075258735011243
2476.000,2328.714,3602.000,3490.667,3532.000,4390.000,61.500,N/A,4480.000,0.0014236478624767394
2455.000,2096.500,2604.000,2532.000,2480.000,3528.000,12.900,N/A,4482.000,0.01808690363431758
3039.444,2454.286,2900.000,2959.000,2834.000,3928.000,22.100,N/A,4483.000,0.024596639441407355
2328.000,1944.000,2583.000,2558.000,2424.000,3464.000,93.000,N/A,4484.000,0.012801229374489638
2422.000,1921.750,2341.000,2310.000,2302.000,4558.000,11.300,N/A,4485.000,0.05096412764123798
4107.000,3234.000,5174.000,4566.000,4262.000,5209.600,100.000,N/A,4486.000,0.011001667232146115
916.500,906.571,1466.000,1360.000,1446.000,1569.333,57.800,N/A,4487.000,0.0025775167393191616
2053.500,1930.750,2952.667,2808.333,2655.000,3544.000,73.100,N/A,4488.000,0.0032796778981341174
1868.800,1146.500,1440.000,1354.000,1117.600,3483.500,48.300,N/A,4493.000,0.13973381475627428
2528.143,2332.700,3532.000,3236.000,3022.000,4312.000,37.500,N/A,4495.000,0.006410649327837822
1767.250,1618.250,2403.000,2198.000,2157.000,2576.667,30.400,N/A,4497.000,0.005448179139225226
2089.250,1050.778,733.500,919.250,664.800,3932.750,28.700,N/A,4498.000,0.4351545301211347
2327.333,1417.500,1219.000,1195.333,1134.667,4789.000,1.850,N/A,4499.000,0.2961240685107903
2327.333,1417.500,1219.000,1195.333,1134.667,4789.000,1.760,N/A,4500.000,0.2961240685107903
2270.875,1939.000,3396.000,3252.000,3110.500,4184.667,11.400,N/A,4501.000,0.002294396634236585
2774.000,2106.000,3388.000,3040.000,2642.000,4068.000,34.000,N/A,4503.000,0.013977217187417247
2381.091,2125.250,4024.000,3814.000,3700.000,4120.000,26.700,N/A,4504.000,0.0033498359116772404
1908.833,1889.500,2962.000,2773.500,2615.583,3193.333,34.000,N/A,4505.000,0.003448602136144032
208.062,175.500,295.091,278.000,151.500,149.773,43.100,N/A,4506.000,0.11774292905377973
2018.364,1662.750,1770.000,1754.000,1591.000,3031.000,20.800,N/A,4507.000,0.05505790389241291
2960.429,2190.500,1328.643,1763.043,2527.636,2853.667,50.000,N/A,4508.000,0.13719322858650346
2053.000,1907.500,3119.000,2935.000,2847.000,3533.750,23.900,N/A,4509.000,0.001375998101700365
2215.500,1995.000,3896.000,3353.333,3276.000,4048.000,42.600,N/A,4510.000,0.004401503480517535
2410.125,1989.000,674.762,927.333,1305.143,2210.000,77.500,N/A,4511.000,0.32127192368799073
2037.667,1491.429,542.833,670.800,875.800,1902.000,15.200,N/A,4512.000,0.36258285489926845
2760.500,3019.917,1968.667,2248.714,2254.000,2137.333,24.000,N/A,4513.000,0.1356441857599477
3156.750,2454.667,680.545,934.750,1362.857,2732.000,11.500,N/A,4514.000,0.43255397418567604
1733.000,1629.000,1564.000,1651.000,1658.000,1632.000,59.000,N/A,4515.000,0.05555482230534312
3073.250,2341.857,2935.750,2801.000,3010.000,3741.333,53.500,N/A,4517.000,0.022575123639439608
2590.600,2076.000,4384.000,3908.000,3828.000,4712.000,95.200,N/A,4518.000,0.004442473653947756
4858.000,3783.000,8984.000,8532.000,8040.000,7652.000,14.900,N/A,4519.000,0.01782325128287712
2463.625,1894.636,3567.333,3369.714,3264.333,3968.500,12.800,N/A,4520.000,0.001060203828162909
2957.000,2390.600,3960.000,3832.000,3872.000,4364.000,37.700,N/A,4521.000,0.0010290567161052692
2480.667,2111.250,4750.000,4570.000,4386.000,4599.000,16.400,N/A,4522.000,0.012672161084962552
2404.500,2217.000,3824.000,3729.000,3666.000,4302.000,13.100,N/A,4523.000,0.0012577973559830787
3062.000,2423.500,736.500,1177.000,1571.000,2602.667,10.300,N/A,4524.000,0.3490757042721652
1961.000,1324.353,821.319,1121.368,1243.130,2139.222,11.300,N/A,4525.000,0.15927779143862583
2335.154,2199.909,5264.667,4822.400,4824.000,5274.667,99.900,N/A,4526.000,0.021571001639826736
2192.667,2163.250,6277.000,5828.000,5720.000,5698.000,20.600,N/A,4527.000,0.05198371397525836
2192.667,2163.250,6277.000,5828.000,5720.000,5698.000,93.800,N/A,4528.000,0.05198371397525836
1967.000,1852.000,4856.400,4578.857,4286.429,4628.000,34.900,N/A,4529.000,0.032868921231369315
2118.917,1982.000,5915.300,5656.571,5542.667,5603.333,27.300,N/A,4530.000,0.053447197207833086
2143.857,1955.000,5339.200,5035.333,4904.000,5304.000,88.400,N/A,4531.000,0.03634140638508482
2549.500,2210.500,5205.333,4960.000,4885.500,5348.000,20.100,N/A,4532.000,0.016530614459864718
2316.000,1943.000,4182.667,3784.000,3688.000,4518.667,29.500,N/A,4533.000,0.006721889176667632
2026.000,1522.000,1444.667,1620.000,1476.000,3618.000,66.600,N/A,4534.000,0.1077142377101953
2725.500,2342.000,4316.000,4064.000,3984.000,4808.000,19.500,N/A,4535.000,0.0012079761732807694
2917.250,2475.000,5016.000,4540.000,4377.000,5016.000,90.500,N/A,4536.000,0.0042858564253185835
1988.000,1969.000,3781.000,3500.000,3478.000,4070.000,85.800,N/A,4537.000,0.006969664700655598
1364.375,1168.833,1437.636,1570.000,1440.909,1255.846,100.000,N/A,4538.000,0.03945050971644473
2151.750,1958.571,4889.333,4614.000,4550.000,4768.000,87.000,N/A,4539.000,0.025532505540301426
2277.000,2188.333,6928.000,6546.000,6586.500,6651.000,79.000,N/A,4540.000,0.06573295500289675
2261.833,2022.167,5317.667,4840.000,4795.200,5008.000,90.500,N/A,4541.000,0.02854254899683141
1953.500,1268.500,1284.000,1310.000,1233.000,3492.333,80.000,N/A,4542.000,0.14823802974264874
2667.333,2278.000,5394.000,5152.000,5006.000,5352.000,17.000,N/A,4543.000,0.01641247508270068
2101.000,1706.000,1363.000,1313.000,1509.333,2516.667,19.000,N/A,4544.000,0.10316079450628637
1575.400,1361.500,959.000,1060.000,1116.000,1497.000,13.000,N/A,4545.000,0.11287496633415067
2499.175,2326.250,7170.000,6418.000,6306.000,6066.000,11.800,N/A,4546.000,0.054604627665698534
2202.333,1936.667,5631.000,5418.000,5248.000,5706.000,13.900,N/A,4547.000,0.043750743501916114
