B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean,sid_hematite,sid_magnetite,sid_goethite,sid_serpentine,sid_olivine,sid_chlorite
1227.2,1170.333,1038.909,1196.6,1422.4,1392.222,7.1,,4271.0,0.0446497765622099,0.31942558113631475,0.3497088161546533,0.3431648802507743,,,
2533.5,2222.4,7729.6,7365.167,7458.667,7520.0,35.0,,4287.0,0.0744337134395434,1.0364233019107076,1.1058049250231656,1.0884525689722457,,,
2321.375,1815.0,5374.25,5102.4,5021.333,5216.0,68.44,,4289.0,0.036835719810582,0.8854223037546022,0.9488424427976772,0.9329365244922432,,,
2279.3,2274.083,4690.0,4244.0,4256.0,4520.0,12.6,,4290.0,0.0121323509689033,0.6907508939527389,0.7508566311631067,0.7347313801949951,,,
2045.75,1689.5,5289.333,4918.8,4965.6,5081.333,12.6,,4291.0,0.0484011892622106,0.9346654270094933,1.0011667999044416,0.984268220802863,,,
2032.667,2072.4,7479.0,7116.0,6872.333,6683.8,18.8,,4293.0,0.0961442186366753,1.0924206357906145,1.1636164542057594,1.1461132809033057,,,
1939.5,1709.0,5816.0,5481.333,5164.0,4700.0,93.1,,4294.0,0.0713278601754933,0.9967870954474118,1.0617619037828727,1.0466379563676198,,,
713.5,715.5,943.25,922.5,865.25,843.0,2.175,21749.0,4428.0,0.021958478590897,0.42878529617885064,0.4698827376284207,0.46020815098279466,,,
713.5,715.5,943.25,922.5,865.25,843.0,1.648,16479.0,4429.0,0.021958478590897,0.42878529617885064,0.4698827376284207,0.46020815098279466,,,
2581.833,2286.0,5409.333,5276.0,5162.0,5772.0,46.4,,4438.0,0.0194842973021465,0.783070510380266,0.8442692942088322,0.8282795503196121,,,
1953.5,1853.667,3587.0,3340.0,3355.0,3323.0,34.4,,4439.0,0.0089721506628458,0.6437437123753309,0.6982197891177715,0.6844888530191141,,,
3128.5,2858.333,3716.0,3481.333,3360.0,3676.0,54.0,,4440.0,0.0198506524334301,0.39802249562320124,0.44124906334830727,0.4297392980698682,,,
2948.7,2470.0,8103.909,7776.0,7710.4,7582.0,67.0,,4441.0,0.0598299889676904,0.9785813531391611,1.0442815890968262,1.0283052192618487,,,
2445.0,2282.167,7766.0,7330.0,7079.5,6511.5,36.0,,4442.0,0.0765938050787519,1.0189295469870894,1.085612236310019,1.0698143917255059,,,
2420.6,2214.333,7696.0,7394.667,7122.667,6609.333,22.2,,4443.0,0.0794817591340621,1.0357534379383653,1.1023268731923506,1.0866864034696562,,,
2448.0,2192.0,6622.0,6368.0,6273.048,6237.333,36.0,,4444.0,0.0523064600764984,0.9397677979954469,1.004705734118628,0.9887580662909886,,,
