OBJECTID,latitude,longitude,Name,Data_Source,H2_pct,H2_ppm
953,35.021800000000034,-107.31859999999995,"38907","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",4.7,null
968,34.55232620000003,-106.82537839999998,"42615","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.17,null
969,34.55232620000003,-106.82537839999998,"42616","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.92,null
970,34.55232620000003,-106.82537839999998,"42617","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.06,null
973,36.297050000000056,-106.34785999999997,"44138","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1,null
974,35.13480000000004,-106.25319999999999,"38978","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",18.9,null
976,37.79356500000006,-106.17341299999998,"38311","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",76.3,null
1022,40.18732000000004,-104.67986999999994,"89814","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.9,null
1052,35.03505000000007,-104.43767999999994,"42125","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.91,null
1292,41.13926870000005,-103.74580869999994,"54127","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.29,null
1317,47.916482600000045,-103.46198469999996,"52093","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1,null
1354,35.62869730000005,-103.21139989999995,"37873","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",5.2,null
1423,33.017500000000034,-102.75229999999999,"44040","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.3,null
1424,31.94530000000004,-102.74079999999998,"45585","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
1427,38.47201000000006,-102.69539999999995,"51195","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.8,null
1431,40.29092000000002,-102.55978999999995,"41029","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.4,null
1460,38.65116850000003,-102.42929339999995,"41590","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",3.6,null
1490,35.38500000000005,-102.2763,"40990","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",6.7,null
1491,35.381400000000035,-102.27429999999998,"51017","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",6.1,null
1492,35.37370000000004,-102.27379999999994,"51018","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.5,null
1526,35.64960000000007,-102.17589999999996,"48233","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",6.5,null
1901,33.57120000000003,-101.69369999999998,"38164","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
1902,33.57120000000003,-101.69369999999998,"38250","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.3,null
2010,30.615900000000074,-101.27979999999997,"39018","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",1.1,null
2047,35.38270000000005,-101.17939999999997,"38650","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",2.7,null
2145,30.79660000000006,-100.91679999999997,"50255","Brennan, S. T., Rivera, J. L., Creitz, R. H., Carela, B., & Park, A. J. (2021). Natural Gas Compositional Analyses Dataset of Gases from United States Wells (U.S. Geological Survey data release). USGS. https://doi.org/10.5066/P9TR93E3",5.6,null
